"","Study","Authors","Year","Source","City_Region","Country","Climate","Number_Participants","Male","Female","Age","Occupation","Anthropometric_Data","Health_Status","Clothing_Insulation","Clothing_Insulation2","Measure","Measure_Type","Metric","SA","TSLow","TSHigh","TLow","THigh","PLow","PHigh","DifT","AvgT","DifTS","AvgTS","Lamb","Hancock","Complexity","Equation"
"1","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Choice reaction time","Sustained Attention","RT","Speed",NA,NA,21.7,25.2,280.278,277.765,3.5,23.45,NA,NA,0.256174227017465,"Psychomotor","S","Absolute"
"2","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Choice reaction time","Sustained Attention","RT","Speed",NA,NA,25.2,28.6,277.765,283.849,3.4,26.9,NA,NA,-0.644217869316106,"Psychomotor","S","Absolute"
"3","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Choice reaction time","Sustained Attention","RT","Speed",NA,NA,21.7,25.2,433.741,444.952,3.5,23.45,NA,NA,-0.738492062577174,"Psychomotor","S","Absolute"
"4","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Choice reaction time","Sustained Attention","RT","Speed",NA,NA,25.2,28.6,444.952,452.519,3.4,26.9,NA,NA,-0.500186140368875,"Psychomotor","S","Absolute"
"5","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Choice reaction stroop","Inhibition","RT","Speed",NA,NA,21.7,25.2,719.59,784.256,3.5,23.45,NA,NA,-2.56757320140635,"Perceptual","S","Absolute"
"6","19-Wa","Wang, Li, Menassa, Kamat",2019,"Building and Environment","Michigan","USA","Continental",15,NA,NA,NA,"Students","NO","YES",NA,0.55,"Choice reaction stroop","Inhibition","RT","Speed",NA,NA,25.2,28.6,784.256,787.11,3.4,26.9,NA,NA,-0.107032877619794,"Perceptual","S","Absolute"
"7","19-Hu","Hu, Maeda",2019,"Indoor Air","Fukuoka","Japan","Temperate",10,10,0,NA,"Students","YES","YES",NA,NA,"Bourdon","Visual Searching","RT","Speed",NA,NA,16,26,184.5,191.8,10,21,NA,NA,-0.395663956639567,"Perceptual","S","Absolute"
"8","19-Hu","Hu, Maeda",2019,"Indoor Air","Fukuoka","Japan","Temperate",10,10,0,NA,"Students","YES","YES",NA,NA,"Bourdon","Visual Searching","RT","Speed",NA,NA,16,26,183.7,195.1,10,21,NA,NA,-0.620577027762657,"Perceptual","S","Absolute"
"9","19-Hu","Hu, Maeda",2019,"Indoor Air","Fukuoka","Japan","Temperate",10,10,0,NA,"Students","YES","YES",NA,NA,"Calculation","Mathematical Reasoning","RT","Speed",NA,NA,16,26,51.8,55.7,10,21,NA,NA,-0.752895752895754,"Cognitive","C","Absolute"
"10","19-Hu","Hu, Maeda",2019,"Indoor Air","Fukuoka","Japan","Temperate",10,10,0,NA,"Students","YES","YES",NA,NA,"Calculation","Mathematical Reasoning","RT","Speed",NA,NA,16,26,52.8,51.6,10,21,NA,NA,0.227272727272727,"Cognitive","C","Absolute"
