"","Study","Authors","Year","Source","Source_Type","City_Region","Country","Climate","Number_Participants","Male","Female","Age","Occupation","Anthropometric_Data","Health_Status","Clothing_Insulation","Clothing_Insulation2","Measure","Measure_Type","Metric","SA","TSLow","TSHigh","TLow","THigh","PLow","PHigh","DifT","AvgT","DifTS","AvgTS","Lamb","Hancock","Complexity","Equation"
"18","17-Sch","Schiavon, Yang, Donner, Chang, Nazaroff",2017,"Indoor Air","J","Singapore","Singapore","Tropical",56,28,28,24.7,"Students","YES","NO",0.7,0.7,"Choice reaction time","Sustained Attention","RT","Speed",0.25,0.9,25.8,28.8,244.08,220.35,3,27.3,0.65,0.575,1.4957264957265,"Psychomotor","S","Absolute"
"19","17-Sch","Schiavon, Yang, Donner, Chang, Nazaroff",2017,"Indoor Air","J","Singapore","Singapore","Tropical",56,28,28,24.7,"Students","YES","NO",0.7,0.7,"Finger tapping","Motor Control","NOE","Speed",-0.45,0.25,23.1,25.8,6.057,6.319,2.7,24.45,0.7,-0.1,0.617939102337318,"Psychomotor","S","Absolute"
"20","17-Sch","Schiavon, Yang, Donner, Chang, Nazaroff",2017,"Indoor Air","J","Singapore","Singapore","Tropical",56,28,28,24.7,"Students","YES","NO",0.7,0.7,"Finger tapping","Motor Control","NOE","Speed",0.25,0.9,25.8,28.8,6.319,6.197,3,27.3,0.65,0.575,-0.29702849769316,"Psychomotor","S","Absolute"
"22","17-Sch","Schiavon, Yang, Donner, Chang, Nazaroff",2017,"Indoor Air","J","Singapore","Singapore","Tropical",56,28,28,24.7,"Students","YES","NO",0.7,0.7,"Finger tapping","Motor Control","NOE","Speed",-0.2,0,25.8,28.8,6.22,6.26,3,27.3,0.2,-0.1,0.321543408360129,"Psychomotor","S","Absolute"
"71","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Mental redirection","Spatial Memory","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,48.5,49.1,8.4,31.3,2.2,1.16666666666667,0.0562324273664481,"Cognitive","C","Absolute"
"72","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Grammatical reasoning","Grammatical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,8.3,9.1,8.4,31.3,2.2,1.16666666666667,0.438116100766703,"Cognitive","C","Absolute"
"73","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Stroop","Inhibition","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,24,23.3,8.4,31.3,2.2,1.16666666666667,-0.132575757575757,"Perceptual","S","Absolute"
"74","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Addition & subtraction","Mathematical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,21.1,20.2,8.4,31.3,2.2,1.16666666666667,-0.19388194743645,"Cognitive","C","Absolute"
"75","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Multiplication","Mathematical Reasoning","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,5.7,6.1,8.4,31.3,2.2,1.16666666666667,0.318979266347687,"Cognitive","C","Absolute"
"76","17-Liu","Liu, Zhong, Wargocki",2017,"Building and Environment","J","Copenhagen","Denmark","Temperate",12,6,6,24.8,"Students","YES","YES",0.42,0.42,"Visual reaction time","Sustained Attention","NOE","Speed",0.0666666666666667,2.26666666666667,27.1,35.5,92.9,94.5,8.4,31.3,2.2,1.16666666666667,0.0782855465309714,"Psychomotor","S","Absolute"
